m1_signal,signal_label,observations,share_of_panel,labeled_trades,m1_hit_rate,mean_trade_return,median_trade_return,m2_approval_rate,hit_rate_m2_approved,hit_rate_m2_rejected,mean_return_m2_approved,mean_return_m2_rejected,m2_accuracy,m2_precision,m2_recall,m2_f1,m2_auc
-1,Short (−1),667,0.17451596023024593,667.0,0.3823088455772114,-0.008477931232690675,-0.010345802102004198,0.974512743628186,0.3830769230769231,0.35294117647058826,-0.008344182817836634,-0.013560370997144237,0.38980509745127434,0.3830769230769231,0.9764705882352941,0.5502762430939226,0.47663240053302874
0,Flat (0),1479,0.3869701726844584,,,,,,,,,,,,,,
1,Long (+1),1676,0.43851386708529566,1676.0,0.6091885441527446,0.008255657218876911,0.010082179611556885,0.9904534606205251,0.608433734939759,0.6875,0.008166621710592558,0.01742074985289755,0.6056085918854416,0.608433734939759,0.9892262487757101,0.7534502051473331,0.5363563636907388
