ticker,period,name,asset_class,benchmark,annualized_return,annualized_volatility,sharpe,max_drawdown,total_return,weekly_hit_rate
SPY,train,SPDR S&P 500 ETF Trust,U.S. Equities,S&P 500 (proxy),0.09392614008960076,0.19149001387309558,0.49050150548240895,-0.5461301881497047,2.3484087209306628,0.5785714285714286
TLT,train,iShares 20+ Year Treasury Bond ETF,Government Bonds,Long-duration U.S. Treasuries,0.07681752303058365,0.14277712088728026,0.5380240374172384,-0.2518219483047055,1.7082098079421453,0.56
GLD,train,SPDR Gold Shares,Commodities / Gold,Gold spot price (proxy),0.07645823054607193,0.17494918131803025,0.437031085084547,-0.4474459890595385,1.6960708795323245,0.5428571428571428
VEA,train,Vanguard FTSE Developed Markets ETF,International Equities,Developed ex-U.S. equities,0.030057469796789693,0.20851276155253,0.144151703583943,-0.5900213692721259,0.489824058156042,0.5514285714285714
VWO,train,Vanguard FTSE Emerging Markets ETF,Emerging Market Equities,Emerging market equities,0.03183231647304541,0.2465195340525231,0.1291269537539498,-0.6380859226928468,0.524753953789012,0.52
HYG,train,iShares iBoxx High Yield Corporate Bond ETF,Credit / High Yield,U.S. high-yield corporate bonds,0.06012687107461967,0.12551915307941838,0.47902546822138165,-0.3300090681860379,1.1946010122368689,0.6028571428571429
VNQ,train,Vanguard Real Estate ETF,Real Estate (REITs),U.S. REITs,0.06563515586190705,0.2865835215789917,0.22902627303997264,-0.7021199755884111,1.3531706259988603,0.5671428571428572
