ticker,period,name,asset_class,benchmark,annualized_return,annualized_volatility,sharpe,max_drawdown,total_return,weekly_hit_rate
SPY,full,SPDR S&P 500 ETF Trust,U.S. Equities,S&P 500 (proxy),0.10878184136835123,0.18281126139797663,0.5950500014959977,-0.546130300713932,6.071128291329721,0.5736040609137056
TLT,full,iShares 20+ Year Treasury Bond ETF,Government Bonds,Long-duration U.S. Treasuries,0.029716677041537354,0.14352163282784988,0.20705364380282423,-0.4782675460608641,0.7414197589803213,0.5350253807106599
GLD,full,SPDR Gold Shares,Commodities / Gold,Gold spot price (proxy),0.09650593168143629,0.17134033086364217,0.5632411890125194,-0.4474459890595385,4.726646775732438,0.5492385786802031
VEA,full,Vanguard FTSE Developed Markets ETF,International Equities,Developed ex-U.S. equities,0.05128986003760061,0.19623399236325167,0.26137092467984435,-0.5900213633854982,1.5791334599155888,0.5553299492385787
VWO,full,Vanguard FTSE Emerging Markets ETF,Emerging Market Equities,Emerging market equities,0.04030254238541886,0.22591288308603663,0.1783986014204867,-0.6380859632211382,1.1137010196673582,0.5279187817258884
HYG,full,iShares iBoxx High Yield Corporate Bond ETF,Credit / High Yield,U.S. high-yield corporate bonds,0.05355400833592672,0.11203875781583711,0.47799537749209725,-0.3300081159110222,1.6864090879373288,0.584771573604061
VNQ,full,Vanguard Real Estate ETF,Real Estate (REITs),U.S. REITs,0.06564633851388502,0.2607591215027073,0.2517508807959512,-0.7021199486511884,2.3346924110045633,0.5532994923857868
