m1_signal,signal_label,observations,share_of_panel,labeled_trades,m1_hit_rate,mean_trade_return,median_trade_return,m2_approval_rate,hit_rate_m2_approved,hit_rate_m2_rejected,mean_return_m2_approved,mean_return_m2_rejected,m2_accuracy,m2_precision,m2_recall,m2_f1,m2_auc
-1,Short (−1),667,0.17451596023024593,667.0,0.3823088455772114,-0.008477931232690675,-0.010345802102004198,0.37181409295352325,0.3346774193548387,0.4105011933174224,-0.014290687969065994,-0.005092936856376646,0.4947526236881559,0.3346774193548387,0.3254901960784314,0.33001988071570576,0.47663240053302874
0,Flat (0),1479,0.3869701726844584,,,,,,,,,,,,,,
1,Long (+1),1676,0.43851386708529566,1676.0,0.6091885441527446,0.008255657218876911,0.010082179611556885,0.665871121718377,0.6245519713261649,0.5785714285714286,0.008783032880733677,0.007211302189572742,0.5566825775656324,0.6245519713261649,0.682664054848188,0.6523163313055685,0.5363563636907388
