m1_signal,signal_label,observations,share_of_panel,labeled_trades,m1_hit_rate,mean_trade_return,median_trade_return,m2_approval_rate,hit_rate_m2_approved,hit_rate_m2_rejected,mean_return_m2_approved,mean_return_m2_rejected,m2_accuracy,m2_precision,m2_recall,m2_f1,m2_auc
0,Flat (0),1140,0.5714285714285714,,,,,,,,,,,,,,
1,Long (+1),855,0.42857142857142855,855.0,0.5894736842105263,0.008266167638585876,0.010890443507106218,1.0,0.5894736842105263,,0.008266167638585876,,0.5894736842105263,0.5894736842105263,1.0,0.7417218543046358,0.5712646407090852
