strategy,annualized_return,annualized_volatility,sharpe,max_drawdown,rolling_12m_max_drawdown,turnover,annualized_turnover,hit_rate,excess_return_vs_benchmark,information_ratio
equal_weight_1_7,0.07362465458614587,0.1289817200697988,0.5708146437053536,-0.39442989970107944,-0.39442989970107944,0.0010141987829614602,0.05273833671399593,0.5598377281947262,0.0,0.0
sixty_forty,0.06564032805732567,0.13267499341133865,0.49474528974588156,-0.4313626336115338,-0.42337049690350703,0.0,0.0,0.5649087221095335,-0.007984326528820196,-0.2785469615266807
m1_only,0.07319849646679488,0.10426328396287823,0.7020543923482823,-0.21003977682248687,-0.21003977682248687,0.09598374622952195,4.991154803935141,0.5882352941176471,-0.00042615811935098336,-0.04133651366271776
m1_m2_binary,0.07164082185263831,0.10344040264966055,0.6925806553100595,-0.23477016391448347,-0.23477016391448347,0.1102437487657338,5.7326749358181575,0.5882352941176471,-0.001983832733507551,-0.06085361589682771
m1_m2_linear,0.01797793415506166,0.02139097088892507,0.8404449825309017,-0.054396255461282905,-0.054396255461282905,0.031207459875091652,1.6227879135047658,0.5892494929006086,-0.05564672043108421,-0.5464576274061208
m1_m2_ecdf,0.06514214348974123,0.0717127437292029,0.9083761142332923,-0.18802549092940113,-0.18802549092940113,0.16126874849908,8.38597492195216,0.5953346855983773,-0.008482511096404632,-0.1529956185149905
