config,window,mode,strategy,test_start,test_end,n_weeks,ann_return,ann_vol,sharpe,dsr,max_drawdown
BASE,W1_test_2014_2016,long_only,m1_only,2014-01-01,2016-12-31,157,0.03575241399625129,0.08788448698744149,0.4068114319351973,0.7750083687394406,-0.14386929566831508
BASE,W1_test_2014_2016,long_only,m1_m2_binary,2014-01-01,2016-12-31,157,0.03575241399625129,0.08788448698744149,0.4068114319351973,0.7750083687394406,-0.14386929566831508
BASE,W1_test_2014_2016,long_only,m1_m2_linear,2014-01-01,2016-12-31,157,0.006120692670135153,0.01584272427060759,0.3863409200077188,0.7482490501778065,-0.02862536215415068
BASE,W1_test_2014_2016,long_only,m1_m2_ecdf,2014-01-01,2016-12-31,157,0.013271157828362856,0.05924818242139542,0.22399265742826296,0.6664531169784489,-0.11650792941304822
BASE,W1_test_2014_2016,long_short,m1_only,2014-01-01,2016-12-31,157,-0.01376239330549378,0.054943951438341534,-0.25048058876759216,0.34840802146457206,-0.10809963273750134
BASE,W1_test_2014_2016,long_short,m1_m2_binary,2014-01-01,2016-12-31,157,0.0,0.0,0.0,,0.0
BASE,W1_test_2014_2016,long_short,m1_m2_linear,2014-01-01,2016-12-31,157,-0.0008349290801679121,0.002629843471387662,-0.31748242404988225,0.29056032113737995,-0.006024425807521272
BASE,W1_test_2014_2016,long_short,m1_m2_ecdf,2014-01-01,2016-12-31,157,-0.007516125280284447,0.05500196219709044,-0.13665194804053815,0.42433327033094936,-0.10632061928240522
CHAMPION,W1_test_2014_2016,long_only,m1_only,2014-01-01,2016-12-31,157,0.02825979867935846,0.08718280708192233,0.3241441704532846,0.7330169195321367,-0.13037227640278604
CHAMPION,W1_test_2014_2016,long_only,m1_m2_binary,2014-01-01,2016-12-31,157,0.02825979867935846,0.08718280708192233,0.3241441704532846,0.7330169195321367,-0.13037227640278604
CHAMPION,W1_test_2014_2016,long_only,m1_m2_linear,2014-01-01,2016-12-31,157,0.005097719391863764,0.01558015955339986,0.32719301586044114,0.7163433323268239,-0.025280883629426154
CHAMPION,W1_test_2014_2016,long_only,m1_m2_ecdf,2014-01-01,2016-12-31,157,0.011248048474120642,0.054035115409853986,0.20816182937344885,0.6553476544441525,-0.09851167917274972
CHAMPION,W1_test_2014_2016,long_short,m1_only,2014-01-01,2016-12-31,157,-0.013343282692615754,0.053810572446926344,-0.2479676778346171,0.34963683691095937,-0.08502465338913279
CHAMPION,W1_test_2014_2016,long_short,m1_m2_binary,2014-01-01,2016-12-31,157,0.0,0.0,0.0,,0.0
CHAMPION,W1_test_2014_2016,long_short,m1_m2_linear,2014-01-01,2016-12-31,157,-0.0014109868202237807,0.0027769794904714475,-0.5081012751679479,0.18816814769089885,-0.006027782285406236
CHAMPION,W1_test_2014_2016,long_short,m1_m2_ecdf,2014-01-01,2016-12-31,157,-0.008609208943207936,0.05122780692643721,-0.16805733955331528,0.4015470006579023,-0.08306925362815665
BASE,W2_test_2016_2018,long_only,m1_only,2016-01-01,2018-12-31,157,0.08522448685465522,0.0861895980442586,0.9888024632727979,0.9516928196617348,-0.10816046473488183
BASE,W2_test_2016_2018,long_only,m1_m2_binary,2016-01-01,2018-12-31,157,0.08534057216365931,0.08409808089577119,1.014774311787543,0.9552736347467972,-0.10787240164912804
BASE,W2_test_2016_2018,long_only,m1_m2_linear,2016-01-01,2018-12-31,157,0.011070166447271212,0.010941701133608026,1.0117408903875649,0.9553718814026237,-0.01336484172694652
BASE,W2_test_2016_2018,long_only,m1_m2_ecdf,2016-01-01,2018-12-31,157,0.044976821067179484,0.04435049589526091,1.0141221684059119,0.9595829471268291,-0.05552749972301163
BASE,W2_test_2016_2018,long_short,m1_only,2016-01-01,2018-12-31,157,0.022516177573805418,0.05195654039909696,0.433365605193312,0.7847237981256323,-0.05710225060497509
BASE,W2_test_2016_2018,long_short,m1_m2_binary,2016-01-01,2018-12-31,157,0.04726308162089632,0.05936250994465093,0.7961772786387232,0.9052798444371521,-0.06961301440062617
BASE,W2_test_2016_2018,long_short,m1_m2_linear,2016-01-01,2018-12-31,157,0.009334857444922351,0.010037637586459026,0.9299855035128246,0.9491406041708903,-0.009929344011591401
BASE,W2_test_2016_2018,long_short,m1_m2_ecdf,2016-01-01,2018-12-31,157,0.03232989166092093,0.0511718705797724,0.6317903038256438,0.8672690323934695,-0.06793935023490583
CHAMPION,W2_test_2016_2018,long_only,m1_only,2016-01-01,2018-12-31,157,0.0653990806761704,0.08463494400822166,0.7727196070433668,0.9097469466424659,-0.11567624348982697
