run_id,run_label,run_index,train_end,test_start,m2_threshold,transaction_cost_bps,effective_start,effective_end,used_cache,elapsed_sec,pipeline_run_dir,status,long_only_m1_only_ann_return,long_only_m1_only_sharpe,long_only_m1_only_max_drawdown,long_only_m1_only_hit_rate,long_only_m1_only_test_ann_return,long_only_m1_only_test_sharpe,long_only_m1_only_test_max_drawdown,long_only_m1_only_test_hit_rate,long_only_m1_only_test_n_weeks,long_only_m1_m2_linear_ann_return,long_only_m1_m2_linear_sharpe,long_only_m1_m2_linear_max_drawdown,long_only_m1_m2_linear_hit_rate,long_only_m1_m2_linear_test_ann_return,long_only_m1_m2_linear_test_sharpe,long_only_m1_m2_linear_test_max_drawdown,long_only_m1_m2_linear_test_hit_rate,long_only_m1_m2_linear_test_n_weeks,long_only_m1_m2_ecdf_ann_return,long_only_m1_m2_ecdf_sharpe,long_only_m1_m2_ecdf_max_drawdown,long_only_m1_m2_ecdf_hit_rate,long_only_m1_m2_ecdf_test_ann_return,long_only_m1_m2_ecdf_test_sharpe,long_only_m1_m2_ecdf_test_max_drawdown,long_only_m1_m2_ecdf_test_hit_rate,long_only_m1_m2_ecdf_test_n_weeks,long_only_m2_accuracy,long_only_m2_precision,long_only_m2_recall,long_only_m2_f1,long_only_m2_auc,long_short_m1_only_ann_return,long_short_m1_only_sharpe,long_short_m1_only_max_drawdown,long_short_m1_only_hit_rate,long_short_m1_only_test_ann_return,long_short_m1_only_test_sharpe,long_short_m1_only_test_max_drawdown,long_short_m1_only_test_hit_rate,long_short_m1_only_test_n_weeks,long_short_m1_m2_linear_ann_return,long_short_m1_m2_linear_sharpe,long_short_m1_m2_linear_max_drawdown,long_short_m1_m2_linear_hit_rate,long_short_m1_m2_linear_test_ann_return,long_short_m1_m2_linear_test_sharpe,long_short_m1_m2_linear_test_max_drawdown,long_short_m1_m2_linear_test_hit_rate,long_short_m1_m2_linear_test_n_weeks,long_short_m1_m2_ecdf_ann_return,long_short_m1_m2_ecdf_sharpe,long_short_m1_m2_ecdf_max_drawdown,long_short_m1_m2_ecdf_hit_rate,long_short_m1_m2_ecdf_test_ann_return,long_short_m1_m2_ecdf_test_sharpe,long_short_m1_m2_ecdf_test_max_drawdown,long_short_m1_m2_ecdf_test_hit_rate,long_short_m1_m2_ecdf_test_n_weeks,long_short_m2_accuracy,long_short_m2_precision,long_short_m2_recall,long_short_m2_f1,long_short_m2_auc,rank_score,rank_score_full,param_split.train_end,param_models.m2.threshold,param_portfolio.transaction_cost_bps
68ef9899ea95,run_001,1,2012-12-31,2013-01-01,0.5,3,2007-07-27,2026-06-12,True,20.81,/home/vitaly/uni/ssga/SSGA-Summer2026/runs/20260610_234123,ok,0.0396183430291545,0.694713518830952,-0.1686786389970656,0.5679513184584178,0.0425665539183492,0.8135826591143773,-0.1190463851473423,0.5868945868945868,702,0.0071145462890713,0.7171214192232191,-0.0292996370072936,0.5567951318458418,0.006568739513604,0.7653149629554516,-0.0158378317820868,0.5683760683760684,702,0.0186650667412566,0.6920296140494526,-0.0521151421025911,0.5162271805273834,0.0144606534158151,0.6635823451707071,-0.045227779217188,0.5170940170940171,702,0.596136567834681,0.6015917602996255,0.9639909977494372,0.740847506486019,0.5152654344997223,0.0196853746126581,0.3198656785284854,-0.1586987375522988,0.5436105476673428,0.0129666266639354,0.2311292467290171,-0.1586987375522981,0.5598290598290598,702,0.0035695354124003,0.3892364698320822,-0.0301572865413708,0.5456389452332657,0.0023785648043241,0.2719752962830425,-0.0301572865413716,0.5655270655270656,702,0.0218476170407819,0.5334450732119479,-0.1369954343490779,0.5598377281947262,0.0136824193809024,0.3407460916987185,-0.1369954343490779,0.5712250712250713,702,0.5457080880074372,0.5457080880074372,1.0,0.7060946271050521,0.53279561020845,0.7653149629554516,0.7171214192232191,2012-12-31,0.5,3
322df0ae244d,run_002,2,2012-12-31,2013-01-01,0.5,5,2007-07-27,2026-06-12,True,20.49,/home/vitaly/uni/ssga/SSGA-Summer2026/runs/20260610_234144,ok,0.0389534965820286,0.6831031937058887,-0.1689193321124731,0.5679513184584178,0.0419450865085284,0.8017320912306167,-0.1195775308726616,0.5868945868945868,702,0.0068068035767971,0.6861842031251211,-0.0293701806499481,0.550709939148073,0.0062308908894559,0.7259824695096959,-0.0160270849510806,0.5598290598290598,702,0.0174758237362531,0.648009465759228,-0.0524197713127917,0.5101419878296146,0.0132352391445897,0.6073943471634963,-0.0461796458728032,0.5085470085470085,702,0.596136567834681,0.6015917602996255,0.9639909977494372,0.740847506486019,0.5152654344997223,0.0185669029133346,0.3017416165541802,-0.1597353055183119,0.5436105476673428,0.0118572436420931,0.2113744473142434,-0.1597353055183116,0.5598290598290598,702,0.0032611640212367,0.3556973034159945,-0.0304326302941871,0.5425963488843814,0.0020325650093726,0.2324686877861239,-0.0304326302941878,0.5612535612535613,702,0.019711458889942,0.4812983256980618,-0.1384480430089114,0.5557809330628803,0.0112920719978182,0.2812008852789615,-0.138448043008911,0.5669515669515669,702,0.5457080880074372,0.5457080880074372,1.0,0.7060946271050521,0.53279561020845,0.7259824695096959,0.6861842031251211,2012-12-31,0.5,5
c5ec4f6a6ea6,run_003,3,2012-12-31,2013-01-01,0.52,3,2007-07-27,2026-06-12,True,20.71,/home/vitaly/uni/ssga/SSGA-Summer2026/runs/20260610_234204,ok,0.0396183430291545,0.694713518830952,-0.1686786389970656,0.5679513184584178,0.0425665539183492,0.8135826591143773,-0.1190463851473423,0.5868945868945868,702,0.0071145462890713,0.7171214192232191,-0.0292996370072936,0.5567951318458418,0.006568739513604,0.7653149629554516,-0.0158378317820868,0.5683760683760684,702,0.0186650667412566,0.6920296140494526,-0.0521151421025911,0.5162271805273834,0.0144606534158151,0.6635823451707071,-0.045227779217188,0.5170940170940171,702,0.5808625336927223,0.5982318271119843,0.913728432108027,0.7230632235084595,0.5152654344997223,0.0196853746126581,0.3198656785284854,-0.1586987375522988,0.5436105476673428,0.0129666266639354,0.2311292467290171,-0.1586987375522981,0.5598290598290598,702,0.0035695354124003,0.3892364698320822,-0.0301572865413708,0.5456389452332657,0.0023785648043241,0.2719752962830425,-0.0301572865413716,0.5655270655270656,702,0.0218476170407819,0.5334450732119479,-0.1369954343490779,0.5598377281947262,0.0136824193809024,0.3407460916987185,-0.1369954343490779,0.5712250712250713,702,0.5457080880074372,0.5457080880074372,1.0,0.7060946271050521,0.53279561020845,0.7653149629554516,0.7171214192232191,2012-12-31,0.52,3
eba23d6514ee,run_004,4,2012-12-31,2013-01-01,0.52,5,2007-07-27,2026-06-12,True,21.12,/home/vitaly/uni/ssga/SSGA-Summer2026/runs/20260610_234224,ok,0.0389534965820286,0.6831031937058887,-0.1689193321124731,0.5679513184584178,0.0419450865085284,0.8017320912306167,-0.1195775308726616,0.5868945868945868,702,0.0068068035767971,0.6861842031251211,-0.0293701806499481,0.550709939148073,0.0062308908894559,0.7259824695096959,-0.0160270849510806,0.5598290598290598,702,0.0174758237362531,0.648009465759228,-0.0524197713127917,0.5101419878296146,0.0132352391445897,0.6073943471634963,-0.0461796458728032,0.5085470085470085,702,0.5808625336927223,0.5982318271119843,0.913728432108027,0.7230632235084595,0.5152654344997223,0.0185669029133346,0.3017416165541802,-0.1597353055183119,0.5436105476673428,0.0118572436420931,0.2113744473142434,-0.1597353055183116,0.5598290598290598,702,0.0032611640212367,0.3556973034159945,-0.0304326302941871,0.5425963488843814,0.0020325650093726,0.2324686877861239,-0.0304326302941878,0.5612535612535613,702,0.019711458889942,0.4812983256980618,-0.1384480430089114,0.5557809330628803,0.0112920719978182,0.2812008852789615,-0.138448043008911,0.5669515669515669,702,0.5457080880074372,0.5457080880074372,1.0,0.7060946271050521,0.53279561020845,0.7259824695096959,0.6861842031251211,2012-12-31,0.52,5
c6af80421ea5,run_005,5,2012-12-31,2013-01-01,0.55,3,2007-07-27,2026-06-12,True,20.97,/home/vitaly/uni/ssga/SSGA-Summer2026/runs/20260610_234245,ok,0.0396183430291545,0.694713518830952,-0.1686786389970656,0.5679513184584178,0.0425665539183492,0.8135826591143773,-0.1190463851473423,0.5868945868945868,702,0.0071145462890713,0.7171214192232191,-0.0292996370072936,0.5567951318458418,0.006568739513604,0.7653149629554516,-0.0158378317820868,0.5683760683760684,702,0.0186650667412566,0.6920296140494526,-0.0521151421025911,0.5162271805273834,0.0144606534158151,0.6635823451707071,-0.045227779217188,0.5170940170940171,702,0.5691823899371069,0.5970924195223261,0.8627156789197299,0.7057379564283522,0.5152654344997223,0.0196853746126581,0.3198656785284854,-0.1586987375522988,0.5436105476673428,0.0129666266639354,0.2311292467290171,-0.1586987375522981,0.5598290598290598,702,0.0035695354124003,0.3892364698320822,-0.0301572865413708,0.5456389452332657,0.0023785648043241,0.2719752962830425,-0.0301572865413716,0.5655270655270656,702,0.0218476170407819,0.5334450732119479,-0.1369954343490779,0.5598377281947262,0.0136824193809024,0.3407460916987185,-0.1369954343490779,0.5712250712250713,702,0.544468546637744,0.5457403332285444,0.9858035207268596,0.7025495750708215,0.53279561020845,0.7653149629554516,0.7171214192232191,2012-12-31,0.55,3
3c2bd012795a,run_006,6,2012-12-31,2013-01-01,0.55,5,2007-07-27,2026-06-12,True,20.9,/home/vitaly/uni/ssga/SSGA-Summer2026/runs/20260610_234306,ok,0.0389534965820286,0.6831031937058887,-0.1689193321124731,0.5679513184584178,0.0419450865085284,0.8017320912306167,-0.1195775308726616,0.5868945868945868,702,0.0068068035767971,0.6861842031251211,-0.0293701806499481,0.550709939148073,0.0062308908894559,0.7259824695096959,-0.0160270849510806,0.5598290598290598,702,0.0174758237362531,0.648009465759228,-0.0524197713127917,0.5101419878296146,0.0132352391445897,0.6073943471634963,-0.0461796458728032,0.5085470085470085,702,0.5691823899371069,0.5970924195223261,0.8627156789197299,0.7057379564283522,0.5152654344997223,0.0185669029133346,0.3017416165541802,-0.1597353055183119,0.5436105476673428,0.0118572436420931,0.2113744473142434,-0.1597353055183116,0.5598290598290598,702,0.0032611640212367,0.3556973034159945,-0.0304326302941871,0.5425963488843814,0.0020325650093726,0.2324686877861239,-0.0304326302941878,0.5612535612535613,702,0.019711458889942,0.4812983256980618,-0.1384480430089114,0.5557809330628803,0.0112920719978182,0.2812008852789615,-0.138448043008911,0.5669515669515669,702,0.544468546637744,0.5457403332285444,0.9858035207268596,0.7025495750708215,0.53279561020845,0.7259824695096959,0.6861842031251211,2012-12-31,0.55,5
8dbf57995654,run_007,7,2012-12-31,2013-01-01,0.58,3,2007-07-27,2026-06-12,True,21.74,/home/vitaly/uni/ssga/SSGA-Summer2026/runs/20260610_234327,ok,0.0396183430291545,0.694713518830952,-0.1686786389970656,0.5679513184584178,0.0425665539183492,0.8135826591143773,-0.1190463851473423,0.5868945868945868,702,0.0071145462890713,0.7171214192232191,-0.0292996370072936,0.5567951318458418,0.006568739513604,0.7653149629554516,-0.0158378317820868,0.5683760683760684,702,0.0186650667412566,0.6920296140494526,-0.0521151421025911,0.5162271805273834,0.0144606534158151,0.6635823451707071,-0.045227779217188,0.5170940170940171,702,0.550314465408805,0.6103723404255319,0.6886721680420105,0.6471624955939372,0.5152654344997223,0.0196853746126581,0.3198656785284854,-0.1586987375522988,0.5436105476673428,0.0129666266639354,0.2311292467290171,-0.1586987375522981,0.5598290598290598,702,0.0035695354124003,0.3892364698320822,-0.0301572865413708,0.5456389452332657,0.0023785648043241,0.2719752962830425,-0.0301572865413716,0.5655270655270656,702,0.0218476170407819,0.5334450732119479,-0.1369954343490779,0.5598377281947262,0.0136824193809024,0.3407460916987185,-0.1369954343490779,0.5712250712250713,702,0.4741245739076541,0.5507936507936508,0.1970471323111868,0.2902551233793392,0.53279561020845,0.7653149629554516,0.7171214192232191,2012-12-31,0.58,3
abfdb3501423,run_008,8,2012-12-31,2013-01-01,0.58,5,2007-07-27,2026-06-12,True,21.23,/home/vitaly/uni/ssga/SSGA-Summer2026/runs/20260610_234348,ok,0.0389534965820286,0.6831031937058887,-0.1689193321124731,0.5679513184584178,0.0419450865085284,0.8017320912306167,-0.1195775308726616,0.5868945868945868,702,0.0068068035767971,0.6861842031251211,-0.0293701806499481,0.550709939148073,0.0062308908894559,0.7259824695096959,-0.0160270849510806,0.5598290598290598,702,0.0174758237362531,0.648009465759228,-0.0524197713127917,0.5101419878296146,0.0132352391445897,0.6073943471634963,-0.0461796458728032,0.5085470085470085,702,0.550314465408805,0.6103723404255319,0.6886721680420105,0.6471624955939372,0.5152654344997223,0.0185669029133346,0.3017416165541802,-0.1597353055183119,0.5436105476673428,0.0118572436420931,0.2113744473142434,-0.1597353055183116,0.5598290598290598,702,0.0032611640212367,0.3556973034159945,-0.0304326302941871,0.5425963488843814,0.0020325650093726,0.2324686877861239,-0.0304326302941878,0.5612535612535613,702,0.019711458889942,0.4812983256980618,-0.1384480430089114,0.5557809330628803,0.0112920719978182,0.2812008852789615,-0.138448043008911,0.5669515669515669,702,0.4741245739076541,0.5507936507936508,0.1970471323111868,0.2902551233793392,0.53279561020845,0.7259824695096959,0.6861842031251211,2012-12-31,0.58,5
0d0430f6454f,run_009,9,2012-12-31,2013-01-01,0.62,3,2007-07-27,2026-06-12,True,21.06,/home/vitaly/uni/ssga/SSGA-Summer2026/runs/20260610_234409,ok,0.0396183430291545,0.694713518830952,-0.1686786389970656,0.5679513184584178,0.0425665539183492,0.8135826591143773,-0.1190463851473423,0.5868945868945868,702,0.0071145462890713,0.7171214192232191,-0.0292996370072936,0.5567951318458418,0.006568739513604,0.7653149629554516,-0.0158378317820868,0.5683760683760684,702,0.0186650667412566,0.6920296140494526,-0.0521151421025911,0.5162271805273834,0.0144606534158151,0.6635823451707071,-0.045227779217188,0.5170940170940171,702,0.4074573225516621,0.6521739130434783,0.0225056264066016,0.0435097897026831,0.5152654344997223,0.0196853746126581,0.3198656785284854,-0.1586987375522988,0.5436105476673428,0.0129666266639354,0.2311292467290171,-0.1586987375522981,0.5598290598290598,702,0.0035695354124003,0.3892364698320822,-0.0301572865413708,0.5456389452332657,0.0023785648043241,0.2719752962830425,-0.0301572865413716,0.5655270655270656,702,0.0218476170407819,0.5334450732119479,-0.1369954343490779,0.5598377281947262,0.0136824193809024,0.3407460916987185,-0.1369954343490779,0.5712250712250713,702,0.4539820266501394,0.3333333333333333,0.0005678591709256,0.0011337868480725,0.53279561020845,0.7653149629554516,0.7171214192232191,2012-12-31,0.62,3
4c8bae5b9c83,run_010,10,2012-12-31,2013-01-01,0.62,5,2007-07-27,2026-06-12,True,20.9,/home/vitaly/uni/ssga/SSGA-Summer2026/runs/20260610_234430,ok,0.0389534965820286,0.6831031937058887,-0.1689193321124731,0.5679513184584178,0.0419450865085284,0.8017320912306167,-0.1195775308726616,0.5868945868945868,702,0.0068068035767971,0.6861842031251211,-0.0293701806499481,0.550709939148073,0.0062308908894559,0.7259824695096959,-0.0160270849510806,0.5598290598290598,702,0.0174758237362531,0.648009465759228,-0.0524197713127917,0.5101419878296146,0.0132352391445897,0.6073943471634963,-0.0461796458728032,0.5085470085470085,702,0.4074573225516621,0.6521739130434783,0.0225056264066016,0.0435097897026831,0.5152654344997223,0.0185669029133346,0.3017416165541802,-0.1597353055183119,0.5436105476673428,0.0118572436420931,0.2113744473142434,-0.1597353055183116,0.5598290598290598,702,0.0032611640212367,0.3556973034159945,-0.0304326302941871,0.5425963488843814,0.0020325650093726,0.2324686877861239,-0.0304326302941878,0.5612535612535613,702,0.019711458889942,0.4812983256980618,-0.1384480430089114,0.5557809330628803,0.0112920719978182,0.2812008852789615,-0.138448043008911,0.5669515669515669,702,0.4539820266501394,0.3333333333333333,0.0005678591709256,0.0011337868480725,0.53279561020845,0.7259824695096959,0.6861842031251211,2012-12-31,0.62,5
