m1_signal,signal_label,observations,share_of_panel,labeled_trades,m1_hit_rate,mean_trade_return,median_trade_return,m2_approval_rate,hit_rate_m2_approved,hit_rate_m2_rejected,mean_return_m2_approved,mean_return_m2_rejected,m2_accuracy,m2_precision,m2_recall,m2_f1,m2_auc
-1,Short (−1),234,0.11729323308270677,234.0,0.42735042735042733,-0.0041433503452821705,-0.0049181826415974905,0.0,,0.42735042735042733,,-0.0041433503452821705,0.5726495726495726,0.0,0.0,0.0,0.4885820895522388
0,Flat (0),895,0.44862155388471175,,,,,,,,,,,,,,
1,Long (+1),866,0.43408521303258146,866.0,0.5993071593533488,0.007690022985212532,0.010143828088081897,0.15704387990762125,0.6029411764705882,0.5986301369863014,0.008272312476012459,0.007583417974414208,0.4330254041570439,0.6029411764705882,0.1579961464354528,0.250381679389313,0.4970265362895837
