strategy,annualized_return,annualized_volatility,sharpe,max_drawdown,rolling_12m_max_drawdown,turnover,annualized_turnover,hit_rate,excess_return_vs_benchmark,information_ratio
equal_weight_1_7,0.07362466652389243,0.1289817065636071,0.57081479603144,-0.39442994987393387,-0.39442994987393387,0.0010141987829614602,0.05273833671399593,0.5598377281947262,0.0,0.0
sixty_forty,0.06564030882342564,0.13267498378459264,0.49474518067397993,-0.43136254142621355,-0.42337057464441785,0.0,0.0,0.5649087221095335,-0.007984357700466793,-0.27854805226320045
m1_only,0.03849836278712071,0.05723265691354715,0.6726642595900179,-0.1712324494450329,-0.1712324494450329,0.06476377180527383,3.3677161338742394,0.5679513184584178,-0.035126303736771725,-0.4272981486682129
m1_m2_binary,0.04052970596929928,0.04537298901433024,0.893256248921549,-0.09951113357595298,-0.09951113357595298,0.11895090973630833,6.185447306288033,0.537525354969574,-0.033094960554593156,-0.3613392219406843
m1_m2_linear,0.010142885638811494,0.011687048758979444,0.8678739900882563,-0.02431901828231131,-0.02431901828231131,0.02754018109591094,1.4320894169873688,0.5709939148073022,-0.06348178088508094,-0.5714359744148145
m1_m2_ecdf,0.0270740116911361,0.0301985183377965,0.8965344388188158,-0.05260556578278697,-0.05260556578278697,0.09908004143251423,5.15216215449074,0.5801217038539553,-0.04655065483275633,-0.4628002033252689
