strategy,annualized_return,annualized_volatility,sharpe,max_drawdown,rolling_12m_max_drawdown,turnover,annualized_turnover,hit_rate,excess_return_vs_benchmark,information_ratio
equal_weight_1_7,0.07362466652389243,0.1289817065636071,0.57081479603144,-0.39442994987393387,-0.39442994987393387,0.0010141987829614602,0.05273833671399593,0.5598377281947262,0.0,0.0
sixty_forty,0.06564030882342564,0.13267498378459264,0.49474518067397993,-0.43136254142621355,-0.42337057464441785,0.0,0.0,0.5649087221095335,-0.007984357700466793,-0.27854805226320045
m1_only,0.024022877774134477,0.05682469760468535,0.42275416828885554,-0.12988107959473993,-0.12988107959473993,0.10228908924949291,5.3190326409736315,0.537525354969574,-0.04960178874975796,-0.450147937208947
m1_m2_binary,0.029210949088216864,0.03719267815747614,0.7853951512858489,-0.06811033095885932,-0.06811033095885932,0.13517807403651116,7.0292598498985805,0.49797160243407707,-0.04441371743567557,-0.4352840570560626
m1_m2_linear,0.006971081384920197,0.009810995356126348,0.7105376296572392,-0.026854153829554805,-0.026854153829554805,0.03047411048924213,1.584653745440591,0.5689655172413793,-0.06665358513897224,-0.5874630979823827
m1_m2_ecdf,0.023960391105064316,0.03359311377201722,0.7132530573877054,-0.08593666642588371,-0.08593666642588371,0.1084177516624165,5.637723086445658,0.5689655172413793,-0.04966427541882812,-0.49129329286479534
