strategy,annualized_return,annualized_volatility,sharpe,max_drawdown,rolling_12m_max_drawdown,turnover,annualized_turnover,hit_rate,excess_return_vs_benchmark,information_ratio
equal_weight_1_7,0.07362466652389243,0.1289817065636071,0.57081479603144,-0.39442994987393387,-0.39442994987393387,0.0010141987829614602,0.05273833671399593,0.5598377281947262,0.0,0.0
sixty_forty,0.06564030882342564,0.13267498378459264,0.49474518067397993,-0.43136254142621355,-0.42337057464441785,0.0,0.0,0.5649087221095335,-0.007984357700466793,-0.27854805226320045
m1_only,0.038953496582028624,0.057024322153586826,0.6831031937058887,-0.16891933211247312,-0.16891933211247312,0.06157629310344828,3.2019672413793105,0.5679513184584178,-0.03467116994186381,-0.42226551483704916
m1_m2_binary,0.004997288352058593,0.011743767634986593,0.4255268417582496,-0.021000189213566167,-0.021000189213566167,0.013329456389452333,0.6931317322515214,0.034482758620689655,-0.06862737817183384,-0.5817466258531074
m1_m2_linear,0.0068068035767971935,0.00991979055448471,0.6861842031251211,-0.02937018064994812,-0.02937018064994812,0.029391128934565715,1.5283387045974173,0.550709939148073,-0.06681786294709524,-0.5941132042538756
m1_m2_ecdf,0.017475823736253115,0.026968469844461142,0.648009465759228,-0.05241977131279174,-0.05241977131279174,0.11236632386322805,5.8430488408878585,0.5101419878296146,-0.05614884278763932,-0.5327726354981094
