strategy,sharpe_ann,dsr,skewness,kurtosis,sr_star,t_obs
equal_weight_1_7,0.6159680685184609,0.9953840631918535,-0.4813859863782109,11.590782331720085,0.0,986
sixty_forty,0.5462580518409507,0.989535349570769,-0.5646274661144269,12.971594394544079,0.0,986
m1_only,0.7152162402922747,0.9986675798405094,-0.6054442912553823,6.585008558348382,0.0,986
m1_m2_binary,0.7019958043986562,0.9983966498056518,-0.6296376630647103,6.654596357436802,0.0,986
m1_m2_linear,0.8279861308934956,0.9997685778600889,-0.29969809678964815,8.536328896840997,0.0,986
m1_m2_ecdf,0.8958765354193826,0.9999014223548447,-0.4304409527106017,12.2939718495004,0.0,986
