strategy,annualized_return,annualized_volatility,sharpe,max_drawdown,rolling_12m_max_drawdown,turnover,annualized_turnover,hit_rate,excess_return_vs_benchmark,information_ratio
equal_weight_1_7,0.07362465458614587,0.12898172006979883,0.5708146437053535,-0.39442989970107944,-0.39442989970107944,0.0010141987829614602,0.05273833671399593,0.5598377281947262,0.0,0.0
sixty_forty,0.06564032805732567,0.13267499341133857,0.4947452897458819,-0.4313626336115338,-0.42337049690350703,0.0,0.0,0.5649087221095335,-0.007984326528820196,-0.27854696152668085
m1_only,0.07187137725885973,0.10481877074860262,0.6856727735458381,-0.2214520171949722,-0.2214520171949722,0.10553188173901505,5.487657850428783,0.579107505070994,-0.0017532773272861402,-0.057842065148530096
m1_m2_binary,0.06987273592450327,0.104011820179695,0.6717768788565408,-0.23297318433387437,-0.23297318433387437,0.11702938894673436,6.0855282252301865,0.577079107505071,-0.003751918661642595,-0.0834613316470339
m1_m2_linear,0.017508419600944958,0.021238498545806252,0.8243718153231772,-0.05174380539942358,-0.05174380539942358,0.030626744978702818,1.5925907388925464,0.579107505070994,-0.05611623498520091,-0.5524810705174183
m1_m2_ecdf,0.06820635302855749,0.07701093890437706,0.8856709708895765,-0.19988118346669403,-0.19988118346669403,0.1609331458519205,8.368523584299867,0.577079107505071,-0.005418301557588379,-0.1238243069228771
