m1_signal,signal_label,observations,share_of_panel,labeled_trades,m1_hit_rate,mean_trade_return,median_trade_return,m2_approval_rate,hit_rate_m2_approved,hit_rate_m2_rejected,mean_return_m2_approved,mean_return_m2_rejected,m2_accuracy,m2_precision,m2_recall,m2_f1,m2_auc
-1,Short (−1),234,0.11729323308270677,234.0,0.42735042735042733,-0.0041433503452821705,-0.0049181826415974905,0.008547008547008548,0.0,0.43103448275862066,-0.00847634011043541,-0.004105341663131703,0.5641025641025641,0.0,0.0,0.0,0.4885820895522388
0,Flat (0),895,0.44862155388471175,,,,,,,,,,,,,,
1,Long (+1),866,0.43408521303258146,866.0,0.5993071593533488,0.007690022985212532,0.010143828088081897,0.5646651270207852,0.6094069529652352,0.5862068965517241,0.008849886447242347,0.0062045294068374494,0.5242494226327945,0.6094069529652352,0.5741811175337187,0.5912698412698413,0.4970265362895837
