m1_signal,signal_label,observations,share_of_panel,labeled_trades,m1_hit_rate,mean_trade_return,median_trade_return,m2_approval_rate,hit_rate_m2_approved,hit_rate_m2_rejected,mean_return_m2_approved,mean_return_m2_rejected,m2_accuracy,m2_precision,m2_recall,m2_f1,m2_auc
0,Flat (0),2688,0.5470085470085471,,,,,,,,,,,,,,
1,Long (+1),2226,0.452991452991453,2226.0,0.5988319856244384,0.006892572683845167,0.008906402896929011,0.8652291105121294,0.5970924195223261,0.61,0.006760351274031119,0.007735704540426081,0.5691823899371069,0.5970924195223261,0.8627156789197299,0.7057379564283522,0.5152654344997223
