m1_signal,signal_label,observations,share_of_panel,labeled_trades,m1_hit_rate,mean_trade_return,median_trade_return,m2_approval_rate,hit_rate_m2_approved,hit_rate_m2_rejected,mean_return_m2_approved,mean_return_m2_rejected,m2_accuracy,m2_precision,m2_recall,m2_f1,m2_auc
-1,Short (−1),833,0.16951566951566951,833.0,0.4129651860744298,-0.007018706703927195,-0.007937210482909407,0.0,,0.4129651860744298,,-0.007018706703927195,0.5870348139255702,0.0,0.0,0.0,0.46823132163408954
0,Flat (0),1687,0.3433048433048433,,,,,,,,,,,,,,
1,Long (+1),2394,0.48717948717948717,2394.0,0.5918964076858814,0.006301864245018806,0.008357399587423986,0.0012531328320802004,0.3333333333333333,0.5922208281053952,-0.0011066073002443666,0.006311218375757774,0.4076858813700919,0.3333333333333333,0.0007057163020465773,0.0014084507042253522,0.515531176119196
