strategy,annualized_return,annualized_volatility,sharpe,max_drawdown,rolling_12m_max_drawdown,turnover,annualized_turnover,hit_rate,excess_return_vs_benchmark,information_ratio
equal_weight_1_7,0.07362465458614587,0.12898172006979883,0.5708146437053535,-0.39442989970107944,-0.39442989970107944,0.0010141987829614602,0.05273833671399593,0.5598377281947262,0.0,0.0
sixty_forty,0.06564032805732567,0.13267499341133857,0.4947452897458819,-0.4313626336115338,-0.42337049690350703,0.0,0.0,0.5649087221095335,-0.007984326528820196,-0.27854696152668085
m1_only,0.07319849646679488,0.10426328396287826,0.702054392348282,-0.21003977682248687,-0.21003977682248687,0.09598374622952195,4.991154803935141,0.5882352941176471,-0.00042615811935098336,-0.04133651366271773
m1_m2_binary,0.07164082185263831,0.10344040264966059,0.6925806553100592,-0.23477016391448347,-0.23477016391448347,0.1102437487657338,5.7326749358181575,0.5882352941176471,-0.001983832733507551,-0.06085361589682773
m1_m2_linear,0.017977934155070097,0.02139097088892897,0.840444982531143,-0.05439625546129723,-0.05439625546129723,0.031207459875125854,1.6227879135065444,0.5892494929006086,-0.05564672043107577,-0.5464576274060526
m1_m2_ecdf,0.06514214348974123,0.07171274372920293,0.908376114233292,-0.18802549092940113,-0.18802549092940113,0.16126874849908,8.38597492195216,0.5953346855983773,-0.008482511096404632,-0.15299561851499044
