strategy,annualized_return,annualized_volatility,sharpe,max_drawdown,rolling_12m_max_drawdown,turnover,annualized_turnover,hit_rate,excess_return_vs_benchmark,information_ratio
equal_weight_1_7,0.07362466652389243,0.1289817065636071,0.57081479603144,-0.39442994987393387,-0.39442994987393387,0.0010141987829614602,0.05273833671399593,0.5598377281947262,0.0,0.0
sixty_forty,0.06564030882342564,0.13267498378459264,0.49474518067397993,-0.43136254142621355,-0.42337057464441785,0.0,0.0,0.5649087221095335,-0.007984357700466793,-0.27854805226320045
m1_only,0.03925696559244973,0.056944421752363555,0.6893908900009212,-0.16974387017186576,-0.16974387017186576,0.060417209939148085,3.1416949168357005,0.5669371196754563,-0.0343677009314427,-0.41899884056275477
m1_m2_binary,0.039039731815807555,0.056931459135307554,0.685732148951651,-0.16974387017186565,-0.16974387017186565,0.06070698073022313,3.1567629979716028,0.5669371196754563,-0.03458493470808488,-0.42123554876376645
m1_m2_linear,0.009148096044993226,0.010324445571504866,0.8860617242480965,-0.026439825187357546,-0.026439825187357546,0.021498854557851162,1.1179404370082604,0.5699797160243407,-0.06447657047889921,-0.5769628841140918
m1_m2_ecdf,0.03150957633345186,0.028605157517891593,1.1015347953858896,-0.041768787669252294,-0.041768787669252294,0.10524906320431938,5.472951286624608,0.5821501014198783,-0.042115090190440574,-0.41680850380301604
