strategy,annualized_return,annualized_volatility,sharpe,max_drawdown,rolling_12m_max_drawdown,turnover,annualized_turnover,hit_rate,excess_return_vs_benchmark,information_ratio
equal_weight_1_7,0.07362466652389243,0.1289817065636071,0.57081479603144,-0.39442994987393387,-0.39442994987393387,0.0010141987829614602,0.05273833671399593,0.5598377281947262,0.0,0.0
sixty_forty,0.06564030882342564,0.13267498378459264,0.49474518067397993,-0.43136254142621355,-0.42337057464441785,0.0,0.0,0.5649087221095335,-0.007984357700466793,-0.27854805226320045
m1_only,0.01968537461265818,0.061542628465858076,0.31986567852848546,-0.1586987375522988,-0.1586987375522988,0.10562145334685599,5.492315574036511,0.5436105476673428,-0.053939291911234255,-0.4702424565939988
m1_m2_binary,0.01968537461265818,0.061542628465858076,0.31986567852848546,-0.1586987375522988,-0.1586987375522988,0.10562145334685599,5.492315574036511,0.5436105476673428,-0.053939291911234255,-0.4702424565939988
m1_m2_linear,0.0035695354124003487,0.00917060884336007,0.38923646983208227,-0.030157286541370842,-0.030157286541370842,0.029554049968638255,1.5368105983691893,0.5456389452332657,-0.07005513111149209,-0.6013374668216314
m1_m2_ecdf,0.021847617040781975,0.040955701229433795,0.5334450732119479,-0.1369954343490779,-0.1369954343490779,0.20129645966153895,10.467415902400026,0.5598377281947262,-0.05177704948311046,-0.47492282570017647
