ticker,ic,n_obs,hit_rate
GLD,-0.00037804627416197035,281,0.5924528301886792
HYG,0.0938409285119363,281,0.6280701754385964
SPY,-0.10391242739240013,281,0.6639004149377593
TLT,-0.1938187541238953,281,0.4666666666666667
VEA,0.10210494434769439,281,0.5818965517241379
VNQ,-0.14074624928338866,281,0.5748031496062992
VWO,0.06026565998550551,281,0.5449438202247191
