m1_signal,signal_label,observations,share_of_panel,labeled_trades,m1_hit_rate,mean_trade_return,median_trade_return,m2_approval_rate,hit_rate_m2_approved,hit_rate_m2_rejected,mean_return_m2_approved,mean_return_m2_rejected,m2_accuracy,m2_precision,m2_recall,m2_f1,m2_auc
-1,Short (−1),234,0.11729323308270677,234.0,0.42735042735042733,-0.0041433503452821705,-0.0049181826415974905,0.0641025641025641,0.3333333333333333,0.4337899543378995,-0.0009201690449472943,-0.00435226024437795,0.5512820512820513,0.3333333333333333,0.05,0.08695652173913043,0.4885820895522388
0,Flat (0),895,0.44862155388471175,,,,,,,,,,,,,,
1,Long (+1),866,0.43408521303258146,866.0,0.5993071593533488,0.007690022985212532,0.010143828088081897,0.8637413394919169,0.5909090909090909,0.652542372881356,0.0067054394920244035,0.013883642224413054,0.5577367205542725,0.5909090909090909,0.8516377649325626,0.6977111286503551,0.4970265362895837
