strategy,annualized_return,annualized_volatility,sharpe,max_drawdown,rolling_12m_max_drawdown,turnover,annualized_turnover,hit_rate,excess_return_vs_benchmark,information_ratio
equal_weight_1_7,0.07362466652389243,0.1289817065636071,0.57081479603144,-0.39442994987393387,-0.39442994987393387,0.0010141987829614602,0.05273833671399593,0.5598377281947262,0.0,0.0
sixty_forty,0.06564030882342564,0.13267498378459264,0.49474518067397993,-0.43136254142621355,-0.42337057464441785,0.0,0.0,0.5649087221095335,-0.007984357700466793,-0.27854805226320045
m1_only,0.02381501537305697,0.05848202739183242,0.40721938747942527,-0.10027190938855246,-0.10027190938855246,0.10286863083164301,5.349168803245436,0.539553752535497,-0.049809651150835466,-0.41810644519178924
m1_m2_binary,0.024768717969372522,0.059402629512975834,0.4169633259073502,-0.12484382691980467,-0.12484382691980467,0.11359015010141987,5.906687805273833,0.5415821501014199,-0.04885594855451991,-0.4219681728606169
m1_m2_linear,0.004584013517720864,0.00808263238156366,0.5671436360481911,-0.016033760547658593,-0.016033760547658593,0.027582963304521698,1.4343140918351283,0.5557809330628803,-0.06904065300617157,-0.5893334695690754
m1_m2_ecdf,0.020273896289673576,0.03297890673003363,0.6147534378758013,-0.06506380833203984,-0.06506380833203984,0.12990242508947253,6.754926104652571,0.5456389452332657,-0.05335077023421886,-0.4720410788369783
