m1_signal,signal_label,observations,share_of_panel,labeled_trades,m1_hit_rate,mean_trade_return,median_trade_return,m2_approval_rate,hit_rate_m2_approved,hit_rate_m2_rejected,mean_return_m2_approved,mean_return_m2_rejected,m2_accuracy,m2_precision,m2_recall,m2_f1,m2_auc
-1,Short (−1),833,0.16951566951566951,833.0,0.4129651860744298,-0.007018706703927195,-0.007937210482909407,0.9459783913565426,0.40482233502538073,0.5555555555555556,-0.007478141640145354,0.0009856708515180686,0.4069627851140456,0.40482233502538073,0.9273255813953488,0.5636042402826855,0.46823132163408954
0,Flat (0),1687,0.3433048433048433,,,,,,,,,,,,,,
1,Long (+1),2394,0.48717948717948717,2394.0,0.5918964076858814,0.006301864245018806,0.008357399587423986,0.9995822890559732,0.5921437526117844,0.0,0.006307558307943861,-0.0072386173907615925,0.5923141186299081,0.5921437526117844,1.0,0.7438320209973753,0.515531176119196
