strategy,annualized_return,annualized_volatility,sharpe,max_drawdown,rolling_12m_max_drawdown,turnover,annualized_turnover,hit_rate,excess_return_vs_benchmark,information_ratio
equal_weight_1_7,0.07362466652389243,0.1289817065636071,0.57081479603144,-0.39442994987393387,-0.39442994987393387,0.0010141987829614602,0.05273833671399593,0.5598377281947262,0.0,0.0
sixty_forty,0.06564030882342564,0.13267498378459264,0.49474518067397993,-0.43136254142621355,-0.42337057464441785,0.0,0.0,0.5649087221095335,-0.007984357700466793,-0.27854805226320045
m1_only,0.024909980939197274,0.058489695451622074,0.4258866582712982,-0.09931792372548753,-0.09931792372548753,0.10286863083164301,5.349168803245436,0.539553752535497,-0.04871468558469516,-0.4098497244415844
m1_m2_binary,0.0021645051309175933,0.010817807118749299,0.20008723645720194,-0.03666835240713895,-0.03662706503692803,0.009562436105476675,0.49724667748478707,0.015212981744421906,-0.07146016139297484,-0.5996260787488977
m1_m2_linear,0.004872186312550486,0.008085152463053398,0.6026090831081843,-0.015778970173307982,-0.015778970173307982,0.027582963304521698,1.4343140918351283,0.5598377281947262,-0.06875248021134195,-0.5870770930063546
m1_m2_ecdf,0.021652298155033556,0.03298993794816622,0.6563303692493644,-0.06456241142045593,-0.06456241142045593,0.12990242508947253,6.754926104652571,0.550709939148073,-0.05197236836885888,-0.4611902650646079
