m1_signal,signal_label,observations,share_of_panel,labeled_trades,m1_hit_rate,mean_trade_return,median_trade_return,m2_approval_rate,hit_rate_m2_approved,hit_rate_m2_rejected,mean_return_m2_approved,mean_return_m2_rejected,m2_accuracy,m2_precision,m2_recall,m2_f1,m2_auc
-1,Short (−1),234,0.11729323308270677,234.0,0.42735042735042733,-0.0041433503452821705,-0.0049181826415974905,0.7136752136752137,0.41916167664670656,0.44776119402985076,-0.0015023782566544804,-0.01056840184448088,0.45726495726495725,0.41916167664670656,0.7,0.5243445692883895,0.4885820895522388
0,Flat (0),895,0.44862155388471175,,,,,,,,,,,,,,
1,Long (+1),866,0.43408521303258146,866.0,0.5993071593533488,0.007690022985212532,0.010143828088081897,0.9953810623556582,0.5986078886310905,0.75,0.0075596932575873205,0.03535250767366341,0.5969976905311778,0.5986078886310905,0.9942196531791907,0.7472845763939174,0.4970265362895837
