strategy,annualized_return,annualized_volatility,sharpe,max_drawdown,rolling_12m_max_drawdown,turnover,annualized_turnover,hit_rate,excess_return_vs_benchmark,information_ratio
equal_weight_1_7,0.07362466652389243,0.1289817065636071,0.57081479603144,-0.39442994987393387,-0.39442994987393387,0.0010141987829614602,0.05273833671399593,0.5598377281947262,0.0,0.0
sixty_forty,0.06564030882342564,0.13267498378459264,0.49474518067397993,-0.43136254142621355,-0.42337057464441785,0.0,0.0,0.5649087221095335,-0.007984357700466793,-0.27854805226320045
m1_only,0.03855889519441558,0.05700641966142642,0.6763956660219196,-0.16891933211247312,-0.16891933211247312,0.06041720993914808,3.1416949168357,0.5679513184584178,-0.03506577132947686,-0.4264340406756786
m1_m2_binary,0.001347634300290279,0.009444766739470827,0.14268582141455666,-0.020862024159188364,-0.014682161532382554,0.009272665314401624,0.48217859634888444,0.010141987829614604,-0.07227703222360216,-0.608168781002113
m1_m2_linear,0.007590943304818909,0.008898314291763158,0.8530765553926957,-0.02230499571324651,-0.02230499571324651,0.01830020822952969,0.9516108279355439,0.5730223123732252,-0.06603372321907353,-0.5849785324026324
m1_m2_ecdf,0.030361738864767673,0.02821210685297319,1.0761953732486995,-0.03842287075551998,-0.03842287075551998,0.1040128880380371,5.408670177977929,0.5679513184584178,-0.04326292765912476,-0.42548359790224044
