m1_signal,signal_label,observations,share_of_panel,labeled_trades,m1_hit_rate,mean_trade_return,median_trade_return,m2_approval_rate,hit_rate_m2_approved,hit_rate_m2_rejected,mean_return_m2_approved,mean_return_m2_rejected,m2_accuracy,m2_precision,m2_recall,m2_f1,m2_auc
-1,Short (−1),299,0.1098053617333823,299.0,0.39464882943143814,-0.007798667026240727,-0.00821787793023998,0.07692307692307693,0.21739130434782608,0.40942028985507245,-0.03125411367168736,-0.005815302052544873,0.5618729096989966,0.21739130434782608,0.0423728813559322,0.07092198581560284,0.46699129131941197
0,Flat (0),1266,0.4649283878075652,,,,,,,,,,,,,,
1,Long (+1),1158,0.42526625045905253,1158.0,0.6062176165803109,0.00861999263365992,0.011348761647549388,0.7435233160621761,0.6144018583042973,0.5824915824915825,0.00951233827725545,0.00604882721991008,0.5639032815198618,0.6144018583042973,0.7535612535612536,0.6769033909149073,0.5251380766731644
